,short_name,long_name,overall,age,dob,height_cm,weight_kg,club_position,Position,club_name,league_name,nationality_name,club_jersey_number,preferred_foot,weak_foot,skill_moves,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking,skill,movement,power,mentality
296,J. Denayer,Jason Denayer,80,26,28-06-1995,184,80,LCB,Defender,Olympique Lyonnais,French Ligue 1,Belgium,5,Right,3,2,"Leadership, Team Player",83,43,67,71,81,81,57.8,58.8,75.2,67.8,63.16666667
297,Embarba,AdriÃ¡n Embarba BlÃ¡zquez,80,29,07-05-1992,173,68,RM,Midfield,RCD Espanyol de Barcelona,Spain Primera Division,Spain,23,Right,4,4,"Power Free-Kick, Early Crosser, Long Shot Taker (AI), Speed Dribbler (AI), Technical Dribbler (AI)",83,77,78,79,55,72,72.4,77,81.8,74.8,72.66666667
298,Capa,Ander Capa RodrÃ­guez,80,29,08-02-1992,175,75,RB,Defender,Athletic Club de Bilbao,Spain Primera Division,Spain,21,Right,3,3,"Long Throw-in, Injury Prone, Speed Dribbler (AI)",82,64,76,77,74,88,66.2,71.6,81,82,74.16666667
299,G. Rulli,GerÃ³nimo Rulli,80,29,20-05-1992,189,84,GK,GK,Villarreal CF,Spain Primera Division,Argentina,13,Right,3,1,Saves with Feet,73.89889415,67.47235387,72.88625592,76.48815166,62.72195893,73.29225908,17.4,18.2,58.4,51.2,33.66666667
300,W. BenÃ­tez,Walter Daniel BenÃ­tez,80,28,19-01-1993,191,93,GK,GK,OGC Nice,French Ligue 1,Argentina,40,Right,2,1,"Solid Player, Cautious With Crosses",73.89889415,67.47235387,72.88625592,76.48815166,62.72195893,73.29225908,16,20.6,52.6,50,33.16666667
301,F. Armani,Franco Armani,80,34,16-10-1986,189,88,GK,GK,River Plate,Argentina Primera DivisiÃ³n,Argentina,1,Right,3,1,"Leadership, Cautious With Crosses",73.89889415,67.47235387,72.88625592,76.48815166,62.72195893,73.29225908,20.2,22.8,47.8,50,35.5
302,JoÃ£o MÃ¡rio,JoÃ£o MÃ¡rio Naval da Costa Eduardo,80,28,19-01-1993,179,73,LCM,Midfield,SL Benfica,Portuguese Liga ZON SAGRES,Portugal,20,Right,4,4,"Playmaker (AI), Technical Dribbler (AI)",69,69,80,83,66,68,69.6,77.8,74.2,71,72.83333333
303,P. Max,Philipp Martin Max,80,27,30-09-1993,177,77,LB,Defender,PSV,Holland Eredivisie,Germany,31,Left,3,3,Early Crosser,82,67,79,75,73,75,67.6,76.2,78.4,74.8,70.83333333
304,NÃ©lson Semedo,NÃ©lson Cabral Semedo,80,27,16-11-1993,177,69,RWB,Defender,Wolverhampton Wanderers,English Premier League,Portugal,22,Right,3,4,Speed Dribbler (AI),82,57,68,81,75,75,60.2,63.2,81.8,73.2,68
305,G. Mancini,Gianluca Mancini,80,25,17-04-1996,190,77,RCB,Defender,Roma,Italian Serie A,Italy,23,Right,3,2,Leadership,61,45,50,59,80,84,54.2,48,58.6,68.2,61.5
306,B. Saka,Bukayo Saka,80,19,05-09-2001,178,65,LM,Midfield,Arsenal,English Premier League,England,7,Left,3,3,"Team Player, Technical Dribbler (AI)",84,68,76,82,65,64,67,74.4,82,64.4,71.33333333
307,V. Coufal,VladimÃ­r Coufal,80,28,22-08-1992,175,76,RB,Defender,West Ham United,English Premier League,Czech Republic,5,Right,3,3,"Long Throw-in, Solid Player, Early Crosser",77,56,73,75,78,81,67.4,67.8,77.8,74.2,70.16666667
308,V. Tsygankov,Viktor Tsygankov,80,23,15-11-1997,178,72,RM,Midfield,Dynamo Kyiv,Ukrainian Premier League,Ukraine,15,Left,4,4,"Flair, Playmaker (AI), Technical Dribbler (AI)",85,73,78,80,45,57,69,76.4,80.4,63.4,66.66666667
309,Pedro Porro,Pedro Antonio Porro Sauceda,80,21,13-09-1999,176,71,RWB,Defender,Sporting CP,Portuguese Liga ZON SAGRES,Spain,24,Right,3,3,Long Shot Taker (AI),80,67,73,79,75,75,67,72.8,77.2,74,69.5
310,D. Alli,Bamidele Alli,80,25,11-04-1996,188,80,LCM,Midfield,Tottenham Hotspur,English Premier League,England,20,Right,3,4,"Flair, Outside Foot Shot, Technical Dribbler (AI)",68,78,78,82,65,75,78.4,76.8,71.4,75.6,76.5
311,L. DÃ­az,Luis Fernando DÃ­az Marulanda,80,24,13-01-1997,180,73,LM,Midfield,FC Porto,Portuguese Liga ZON SAGRES,Colombia,7,Right,4,4,"Outside Foot Shot, Technical Dribbler (AI)",92,77,70,82,32,71,68,69.8,84,77,60.5
312,R. Baku,Ridle Bote Baku,80,23,08-04-1998,176,75,RM,Midfield,VfL Wolfsburg,German 1. Bundesliga,Germany,20,Right,4,3,"Long Shot Taker (AI), Speed Dribbler (AI)",84,73,73,81,70,78,67.8,67.8,83,77.4,71
313,M. GÃ³mez,Maximiliano GÃ³mez GonzÃ¡lez,80,24,14-08-1996,186,84,RS,Forward,Valencia CF,Spain Primera Division,Uruguay,9,Right,3,3,Power Header,66,81,68,73,32,82,75.6,69,67.2,80.8,67.66666667
314,A. Bastoni,Alessandro Bastoni,80,22,13-04-1999,190,75,LCB,Defender,Inter,Italian Serie A,Italy,95,Left,3,2,Team Player,65,33,65,69,82,80,56.2,58.4,64.6,61.4,63.83333333
315,B. Kamara,Boubacar Bernard Kamara,80,21,23-11-1999,184,68,RDM,Midfield,Olympique de Marseille,French Ligue 1,France,4,Right,3,3,Leadership,74,50,72,73,79,78,56.6,66.4,70.8,71.4,71.16666667
316,J. Pavlenka,JiÅ™Ã­ Pavlenka,80,29,14-04-1992,196,81,GK,GK,SV Werder Bremen,German 2. Bundesliga,Czech Republic,1,Right,3,1,Saves with Feet,73.89889415,67.47235387,72.88625592,76.48815166,62.72195893,73.29225908,17.6,14.4,43.6,37.2,21.83333333
317,N. Mazraoui,Noussair Mazraoui,80,23,14-11-1997,183,62,RB,Defender,Ajax,Holland Eredivisie,Morocco,12,Right,3,3,"Injury Prone, Flair, Technical Dribbler (AI)",82,61,74,81,75,71,67.8,67.2,78.8,67.6,68.16666667
318,X. Schlager,Xaver Schlager,80,23,28-09-1997,174,76,RDM,Midfield,VfL Wolfsburg,German 1. Bundesliga,Austria,24,Left,3,3,"Dives Into Tackles (AI), Long Shot Taker (AI)",69,70,73,77,73,81,61.6,72,74.8,76.4,75.16666667
319,V. Osimhen,Victor James Osimhen,80,22,29-12-1998,185,78,ST,Forward,Napoli,Italian Serie A,Nigeria,9,Right,4,3,"Speed Dribbler (AI), Chip Shot (AI)",88,80,63,75,39,81,74.2,63,79.6,80,67.16666667
320,D. Malen,Donyell Malen,80,22,19-01-1999,179,78,LS,Forward,Borussia Dortmund,German 1. Bundesliga,Netherlands,21,Right,3,4,"Flair, Outside Foot Shot, Technical Dribbler (AI)",90,79,72,83,30,74,74.2,73,85.6,76.4,66.66666667
321,Renato Sanches,Renato JÃºnior Luz Sanches,80,23,18-08-1997,176,70,LCM,Midfield,LOSC Lille,French Ligue 1,Portugal,18,Right,4,4,"Injury Prone, Flair, Long Shot Taker (AI), Speed Dribbler (AI), Outside Foot Shot, Technical Dribbler (AI)",84,74,77,84,72,84,69.8,76.6,84.6,84.2,77.16666667
322,Laure Santeiro,Laureano Thomas Santeiro Marre,80,21,29-02-2000,171,63,LM,Midfield,Fluminense,Campeonato Brasileiro SÃ©rie A,Brazil,10,Left,5,4,"Flair, Technical Dribbler (AI)",80,72,77,82,26,45,67,75,83.2,57.4,64.16666667
323,HÃ©niton Pires,HÃ©niton Enaldo Pires Tramontino,80,25,29-02-1996,182,74,GK,GK,Flamengo,Campeonato Brasileiro SÃ©rie A,Brazil,1,Right,3,1,GK Long Throw,73.89889415,67.47235387,72.88625592,76.48815166,62.72195893,73.29225908,17,18.4,49.8,47,33.83333333
324,Maikel Catarino,Maikel Renan Catarino Fagundes,80,25,29-02-1996,177,75,RB,Defender,Sport Club Corinthians Paulista,Campeonato Brasileiro SÃ©rie A,Brazil,2,Right,3,3,Solid Player,76,51,70,77,77,70,64,66.8,77.6,63.2,58.66666667
325,E. PÃ©rez,Enzo NicolÃ¡s PÃ©rez,80,35,22-02-1986,178,77,RDM,Midfield,River Plate,Argentina Primera DivisiÃ³n,Argentina,24,Right,4,3,"Dives Into Tackles (AI), Leadership",68,66,77,77,77,78,68.4,72.8,72.4,73,78.33333333
326,R. Pereyra,Roberto Maximiliano Pereyra,80,30,07-01-1991,182,77,CM,Midfield,Udinese Calcio,Italian Serie A,Argentina,37,Right,4,4,Speed Dribbler (AI),76,74,79,81,68,73,72.6,79.4,77,73.8,74.5
327,Guaita,Vicente Guaita Panadero,80,34,10-01-1987,190,80,GK,GK,Crystal Palace,English Premier League,Spain,13,Right,3,1,"GK Long Throw, Rushes Out Of Goal",73.89889415,67.47235387,72.88625592,76.48815166,62.72195893,73.29225908,23.4,25,57.6,48.8,34.5
328,JosÃ© CallejÃ³n,JosÃ© MarÃ­a CallejÃ³n Bueno,80,34,11-02-1987,178,73,RW,Forward,Fiorentina,Italian Serie A,Spain,7,Right,4,3,Solid Player,77,76,76,81,48,59,77.2,72.6,77.6,69.6,67.5
329,A. Ogbonna,Angelo Obinze Ogbonna,80,33,23-05-1988,191,86,LCB,Defender,West Ham United,English Premier League,Italy,21,Left,3,2,Leadership,56,40,60,62,82,76,51.6,56,58.2,68,62.16666667
330,F. Muslera,NÃ©stor Fernando Muslera Micol,80,35,16-06-1986,190,74,GK,GK,Galatasaray SK,Turkish SÃ¼per Lig,Uruguay,1,Right,2,1,"Leadership, GK Long Throw, Team Player, Rushes Out Of Goal",73.89889415,67.47235387,72.88625592,76.48815166,62.72195893,73.29225908,18.2,24.6,66,51.2,35.66666667
331,D. GodÃ­n,Diego Roberto GodÃ­n Leal,80,35,16-02-1986,187,78,CB,Defender,Cagliari,Italian Serie A,Uruguay,2,Right,3,2,"Dives Into Tackles (AI), Power Header",57,48,63,61,80,78,60,58.6,59.6,69.6,64.66666667
332,R. Nainggolan,Radja Nainggolan,80,33,04-05-1988,176,65,CM,Midfield,Royal Antwerp FC,Belgian Jupiler Pro League,Belgium,44,Right,3,3,"Dives Into Tackles (AI), Flair, Long Shot Taker (AI), Outside Foot Shot",71,84,78,74,73,80,76.2,73.8,74.6,82,76.83333333
333,Nacho Monreal,Ignacio Monreal Eraso,80,35,26-02-1986,180,77,LB,Defender,Real Sociedad,Spain Primera Division,Spain,20,Left,3,3,"Early Crosser, Team Player",65,61,74,74,80,68,68,69.2,70,68.4,73
334,D. Payet,Dimitri Payet,80,34,29-03-1987,175,77,CF,Forward,Olympique de Marseille,French Ligue 1,France,10,Right,4,4,"Flair, Playmaker (AI), Outside Foot Shot, Technical Dribbler (AI)",69,77,83,82,38,67,75.6,80.8,73.6,67.6,68.16666667
335,S. Mignolet,Simon Luc Hildebert Mignolet,80,33,06-03-1988,193,87,GK,GK,Club Brugge KV,Belgian Jupiler Pro League,Belgium,22,Right,3,1,"Leadership, Team Player, Rushes Out Of Goal, Comes For Crosses, Saves with Feet",73.89889415,67.47235387,72.88625592,76.48815166,62.72195893,73.29225908,18.2,20.4,52.4,49,35.66666667
336,D. Wass,Daniel Wass,80,32,31-05-1989,181,74,RCM,Midfield,Valencia CF,Spain Primera Division,Denmark,18,Right,3,3,"Solid Player, Long Shot Taker (AI)",74,77,80,77,76,76,74.4,79.8,74.4,78.6,74.16666667
337,M. HamÅ¡Ã­k,Marek HamÅ¡Ã­k,80,33,27-07-1987,183,73,LCM,Midfield,Trabzonspor,Turkish SÃ¼per Lig,Slovakia,17,Right,5,4,"Long Passer (AI), Long Shot Taker (AI), Playmaker (AI), Outside Foot Shot",68,77,81,80,70,71,77,78.8,72.2,76.4,74.83333333
338,RaÃºl GarcÃ­a,RaÃºl GarcÃ­a Escudero,80,34,11-07-1986,184,83,RS,Forward,Athletic Club de Bilbao,Spain Primera Division,Spain,22,Right,3,3,"Leadership, Long Shot Taker (AI), Power Header, Outside Foot Shot",41,82,81,78,65,83,81.2,78.6,56,84.8,81.83333333
339,JoÃ£o Moutinho,JoÃ£o Filipe Iria Santos Moutinho,80,34,08-09-1986,170,61,LCM,Midfield,Wolverhampton Wanderers,English Premier League,Portugal,28,Right,4,3,"Leadership, Long Passer (AI), Playmaker (AI), Outside Foot Shot",50,72,84,80,70,66,76.6,82,67,71,75.66666667
340,I. Akinfeev,Igor Akinfeev,80,35,08-04-1986,186,78,GK,GK,PFC CSKA Moscow,Russian Premier League,Russia,35,Right,3,1,"Leadership, Long Passer (AI), GK Long Throw, Team Player, Saves with Feet",73.89889415,67.47235387,72.88625592,76.48815166,62.72195893,73.29225908,16.6,18.2,54,48.2,31.33333333
341,G. Ochoa,Francisco Guillermo Ochoa MagaÃ±a,80,35,13-07-1985,190,85,GK,GK,Club AmÃ©rica,Mexican Liga MX,Mexico,13,Right,3,1,"Leadership, GK Long Throw, Cautious With Crosses",73.89889415,67.47235387,72.88625592,76.48815166,62.72195893,73.29225908,19.6,19.2,55.6,46,30.66666667
342,G. Buffon,Gianluigi Buffon,80,43,28-01-1978,192,92,GK,GK,Parma,Italian Serie B,Italy,1,Right,2,1,"Team Player, Cautious With Crosses",73.89889415,67.47235387,72.88625592,76.48815166,62.72195893,73.29225908,19,24.4,49.8,46.8,36.66666667
343,Pacheco,Fernando Pacheco Flores,80,29,18-05-1992,186,81,GK,GK,Deportivo AlavÃ©s,Spain Primera Division,Spain,1,Left,2,1,GK Long Throw,73.89889415,67.47235387,72.88625592,76.48815166,62.72195893,73.29225908,16.2,19.4,56.4,51.8,34.5
344,N. Lodeiro,Marcelo NicolÃ¡s Lodeiro BenÃ­tez,80,32,21-03-1989,170,69,LF,Forward,Seattle Sounders FC,USA Major League Soccer,Uruguay,10,Left,4,4,"Leadership, Flair, Long Shot Taker (AI), Playmaker (AI), Outside Foot Shot, Technical Dribbler (AI)",74,73,83,81,49,74,70.8,79.6,78,74.6,72.33333333
345,M. Benatia,Medhi Amine El Mouttaqi Benatia,80,34,17-04-1987,189,94,RCB,Defender,Fatih KaragÃ¼mrÃ¼k S.K.,Turkish SÃ¼per Lig,Morocco,5,Right,3,2,"Injury Prone, Leadership, Power Header",63,45,52,63,81,82,55,49,63.2,65.4,62.16666667
346,Pozuelo,Alejandro Pozuelo Melero,80,29,20-09-1991,170,63,CAM,Midfield,Toronto FC,USA Major League Soccer,Spain,10,Right,5,4,"Leadership, Finesse Shot, Flair, Playmaker (AI), Outside Foot Shot, Technical Dribbler (AI)",65,75,80,83,52,66,70.8,79.2,74.6,71.2,73.16666667
347,SÃ©rgio Oliveira,SÃ©rgio Miguel Relvas de Oliveira,80,29,02-06-1992,181,78,LCM,Midfield,FC Porto,Portuguese Liga ZON SAGRES,Portugal,27,Right,3,3,"Long Passer (AI), Long Shot Taker (AI), Playmaker (AI), Outside Foot Shot",58,79,82,77,72,70,76.4,80.2,66.6,74.8,78.66666667
348,Q. Promes,Quincy Anton Promes,80,29,04-01-1992,174,72,LM,Midfield,Spartak Moskva,Russian Premier League,Netherlands,24,Right,4,4,"Flair, Speed Dribbler (AI), Outside Foot Shot",88,78,78,81,46,69,74.2,77,84,76.2,69.66666667
349,J. MartÃ­nez,Josef Alexander MartÃ­nez Mencia,80,28,19-05-1993,170,69,LS,Forward,Atlanta United,USA Major League Soccer,Venezuela,7,Right,4,3,"Flair, Speed Dribbler (AI), Power Header, Outside Foot Shot",87,80,61,79,25,67,71.4,67,86.4,74,63.5
350,Roger,Roger MartÃ­ Salvador,80,30,03-01-1991,179,74,RS,Forward,Levante UniÃ³n Deportiva,Spain Primera Division,Spain,9,Right,3,3,Finesse Shot,77,82,63,77,41,74,74.2,62.8,76.8,76.6,68.66666667
351,M. Keane,Michael Keane,80,28,11-01-1993,191,82,LCB,Defender,Everton,English Premier League,England,5,Right,3,2,Power Header,55,49,65,65,82,80,62,57.8,59.6,68.6,61
352,E. Andrada,Esteban Maximiliano Andrada,80,30,26-01-1991,194,83,GK,GK,CF Monterrey,Mexican Liga MX,Argentina,1,Right,2,1,"Flair, Rushes Out Of Goal, Comes For Crosses",73.89889415,67.47235387,72.88625592,76.48815166,62.72195893,73.29225908,19.4,21.2,47.8,47.8,30.66666667
353,S. Haller,SÃ©bastien Haller,80,27,22-06-1994,190,82,ST,Forward,Ajax,Holland Eredivisie,CÃ´te d'Ivoire,22,Right,3,3,Power Header,66,79,62,74,51,81,73.2,61,66,77.6,71.83333333
354,T. Savanier,TÃ©ji Tedy Savanier,80,29,22-12-1991,172,69,CAM,Midfield,Montpellier HÃ©rault SC,French Ligue 1,France,11,Right,4,4,"Flair, Long Passer (AI), Long Shot Taker (AI), Playmaker (AI), Outside Foot Shot",67,74,83,82,69,69,69.2,81,77.6,66.8,79.5
355,F. Thauvin,Florian Tristan Mariano Thauvin,80,28,26-01-1993,179,70,RM,Midfield,Tigres U.A.N.L.,Mexican Liga MX,France,26,Left,3,4,"Finesse Shot, Flair, Long Shot Taker (AI), Technical Dribbler (AI)",79,79,79,80,41,68,76.8,78.4,78.6,76.8,68.5
356,E. Zahavi,Eran Zahavi,80,33,25-07-1987,182,71,ST,Forward,PSV,Holland Eredivisie,Israel,7,Right,4,4,"Finesse Shot, Flair, Long Shot Taker (AI), Outside Foot Shot",77,82,74,79,39,73,75.8,76.4,78.4,79.8,67.66666667
357,Z. Feddal,Zouhair Feddal Agharbi,80,31,23-12-1989,192,84,LCB,Defender,Sporting CP,Portuguese Liga ZON SAGRES,Morocco,3,Left,2,2,"Dives Into Tackles (AI), Long Passer (AI)",61,50,63,60,82,77,60.8,55,55.2,68.6,63.66666667
358,A. Mandi,AÃ¯ssa Mandi,80,29,22-10-1991,184,78,LCB,Defender,Villarreal CF,Spain Primera Division,Algeria,22,Right,3,2,Dives Into Tackles (AI),66,46,74,70,81,74,64.8,66.8,69.6,64.8,68.33333333
359,C. Bakambu,CÃ©dric Bakambu,80,30,11-04-1991,182,74,LS,Forward,Beijing Guoan FC,Chinese Super League,Congo DR,17,Right,3,4,"Finesse Shot, Speed Dribbler (AI)",90,80,71,76,36,77,76.4,68.8,83.4,78.8,69
360,C. ArÃ¡nguiz,Charles Mariano ArÃ¡nguiz Sandoval,80,32,17-04-1989,171,68,RDM,Midfield,Bayer 04 Leverkusen,German 1. Bundesliga,Chile,20,Right,4,3,"Injury Prone, Dives Into Tackles (AI), Playmaker (AI), Outside Foot Shot",65,71,80,77,76,72,69,77,75.4,72,77
361,Bartra,Marc Bartra Aregall,80,30,15-01-1991,184,73,RCB,Defender,Real Betis BalompiÃ©,Spain Primera Division,Spain,5,Right,3,3,"Dives Into Tackles (AI), Long Shot Taker (AI)",71,61,72,73,80,74,62.4,68.8,73.2,74.4,70.83333333
362,Ismaily,Ismaily GonÃ§alves dos Santos,80,31,11-01-1990,177,86,LB,Defender,Shakhtar Donetsk,Ukrainian Premier League,Brazil,31,Left,3,4,Technical Dribbler (AI),82,64,74,81,75,75,67,69.2,79.8,72,70.83333333
363,JoÃ£o Pedro,JoÃ£o Pedro Geraldino dos Santos GalvÃ£o,80,29,09-03-1992,184,73,LS,Forward,Cagliari,Italian Serie A,Brazil,10,Right,4,4,"Finesse Shot, Outside Foot Shot, Team Player",72,78,77,81,41,74,75.4,78.8,75.2,76.2,70.33333333
364,M. Hinteregger,Martin Hinteregger,80,28,07-09-1992,184,83,LCB,Defender,Eintracht Frankfurt,German 1. Bundesliga,Austria,13,Left,3,2,"Dives Into Tackles (AI), Long Passer (AI)",70,70,67,61,81,81,67.4,64.6,68.2,79.8,71.83333333
365,G. Arias,Gabriel Arias Arroyo,79,33,13-09-1987,188,82,GK,GK,Racing Club,Argentina Primera DivisiÃ³n,Chile,21,Right,3,1,"Team Player, Rushes Out Of Goal",73.89889415,67.47235387,72.88625592,76.48815166,62.72195893,73.29225908,21.4,23.4,50.2,45.8,30.66666667
366,R. Bensebaini,Ramy Bensebaini,79,26,16-04-1995,186,82,LB,Defender,Borussia MÃ¶nchengladbach,German 1. Bundesliga,Algeria,25,Left,4,3,Early Crosser,73,59,72,75,77,80,68.6,70.4,68.6,70,73.16666667
367,U. Ã‡akÄ±r,UÄŸurcan Ã‡akÄ±r,79,25,05-04-1996,191,82,GK,GK,Trabzonspor,Turkish SÃ¼per Lig,Turkey,1,Right,3,1,GK Long Throw,73.89889415,67.47235387,72.88625592,76.48815166,62.72195893,73.29225908,18.8,20.6,58.2,51.8,31.83333333
368,A. Golovin,Aleksandr Golovin,79,25,30-05-1996,180,69,LF,Forward,AS Monaco,French Ligue 1,Russia,17,Right,4,4,"Long Shot Taker (AI), Technical Dribbler (AI)",81,72,79,83,67,69,67.2,79.8,82.4,73,72.66666667
369,E. BuendÃ­a,Emiliano BuendÃ­a,79,24,25-12-1996,172,65,RW,Forward,Aston Villa,English Premier League,Argentina,10,Right,4,4,"Dives Into Tackles (AI), Flair, Long Shot Taker (AI), Playmaker (AI), Technical Dribbler (AI)",73,73,80,81,64,67,71.2,79,78,65.6,71
370,Aritz Elustondo,Aritz Elustondo Irribaria,79,27,28-03-1994,180,71,RCB,Defender,Real Sociedad,Spain Primera Division,Spain,6,Right,3,2,"Solid Player, Early Crosser, Long Passer (AI)",66,33,61,60,79,77,57.4,54.6,64.6,61.6,56
371,M. Thuram,Marcus Lilian Thuram-Ulien,79,23,06-08-1997,192,88,LM,Midfield,Borussia MÃ¶nchengladbach,German 1. Bundesliga,France,10,Right,3,3,"Finesse Shot, Technical Dribbler (AI)",82,78,70,79,48,77,75.8,64.2,74.8,78.8,65.83333333
372,Pablo Fornals,Pablo Fornals Malla,79,25,22-02-1996,178,67,RM,Midfield,West Ham United,English Premier League,Spain,8,Right,3,4,"Solid Player, Outside Foot Shot, Team Player, Technical Dribbler (AI)",68,74,79,79,69,68,70.4,76.2,72.4,69.6,71.5
373,Ricardo Horta,Ricardo Jorge da Luz Horta,79,26,15-09-1994,173,63,LF,Forward,SC Braga,Portuguese Liga ZON SAGRES,Portugal,21,Right,3,3,"Early Crosser, Finesse Shot, Playmaker (AI), Outside Foot Shot, Team Player",78,78,75,80,42,69,72.8,75.4,81.2,72.2,70.83333333
374,D. SÃ¡nchez,Davinson SÃ¡nchez Mina,79,25,12-06-1996,187,79,RCB,Defender,Tottenham Hotspur,English Premier League,Colombia,6,Right,2,2,Dives Into Tackles (AI),75,45,55,65,80,80,51.2,51.2,68,67.6,61
375,K. Dolberg,Kasper Dolberg Rasmussen,79,23,06-10-1997,187,84,RS,Forward,OGC Nice,French Ligue 1,Denmark,9,Right,4,3,"Finesse Shot, Power Header, Outside Foot Shot",73,81,69,77,30,68,72.2,72.6,71.2,78,61.16666667
376,V. Grifo,Vincenzo Grifo,79,28,07-04-1993,180,76,LM,Midfield,Sport-Club Freiburg,German 1. Bundesliga,Italy,32,Right,2,4,"Flair, Long Shot Taker (AI), Outside Foot Shot, Technical Dribbler (AI)",70,74,79,81,41,62,70.8,80.8,75,68.2,66.83333333
377,P. Onuachu,Paul Ebere Onuachu,79,27,28-05-1994,201,93,ST,Forward,KRC Genk,Belgian Jupiler Pro League,Nigeria,18,Right,2,3,Power Header,71,77,62,70,45,84,71,61.4,58.4,73.4,70.83333333
378,JosÃ© SÃ¡,JosÃ© Pedro Malheiro de SÃ¡,79,28,17-01-1993,192,84,GK,GK,Wolverhampton Wanderers,English Premier League,Portugal,1,Right,2,1,Comes For Crosses,73.89889415,67.47235387,72.88625592,76.48815166,62.72195893,73.29225908,18.8,17.8,53.6,48.2,23.5
379,M. Uribe,AndrÃ©s Mateus Uribe Villa,79,30,21-03-1991,182,71,RCM,Midfield,FC Porto,Portuguese Liga ZON SAGRES,Colombia,8,Right,4,3,"Long Passer (AI), Outside Foot Shot",75,74,75,76,75,81,68.4,71.2,75.6,80,75
380,A. Izzo,Armando Izzo,79,29,02-03-1992,183,81,RCB,Defender,Torino F.C.,Italian Serie A,Italy,5,Right,4,2,"Leadership, Team Player",70,33,48,65,82,78,46.6,48.2,69.8,66,53.16666667
381,D. Zappacosta,Davide Zappacosta,79,29,11-06-1992,182,75,RM,Midfield,Atalanta,Italian Serie A,Italy,77,Right,3,3,"Injury Prone, Early Crosser",76,66,73,74,75,71,70.6,70.2,72.6,71.4,69.83333333
382,A. Saint-Maximin,Allan Saint-Maximin,79,24,12-03-1997,173,67,LS,Forward,Newcastle United,English Premier League,France,10,Right,4,5,"Flair, Long Shot Taker (AI), Speed Dribbler (AI), Technical Dribbler (AI)",91,69,70,87,25,61,64.2,73.8,87.4,72,55.66666667
383,Paulinho,JoÃ£o Paulo Dias Fernandes,79,28,09-11-1992,188,84,ST,Forward,Sporting CP,Portuguese Liga ZON SAGRES,Portugal,21,Left,4,3,"Finesse Shot, Chip Shot (AI)",67,78,64,75,44,81,75.8,62.4,69.6,78.8,69.5
384,M. Dahoud,Mahmoud Dahoud,79,25,01-01-1996,178,68,CDM,Midfield,Borussia Dortmund,German 1. Bundesliga,Germany,8,Right,4,4,"Flair, Long Passer (AI), Long Shot Taker (AI), Technical Dribbler (AI)",70,69,76,83,67,70,64.2,75.2,78.8,75.6,70.83333333
385,H. TraorÃ©,Hamari TraorÃ©,79,29,27-01-1992,175,71,RB,Defender,Stade Rennais FC,French Ligue 1,Mali,27,Right,3,3,"Long Throw-in, Long Shot Taker (AI), Speed Dribbler (AI)",85,54,72,76,73,77,61.2,66.8,79.8,74.4,67.16666667
386,C. Gakpo,Cody MathÃ¨s Gakpo,79,22,07-05-1999,189,76,LAM,Midfield,PSV,Holland Eredivisie,Netherlands,11,Right,4,3,"Finesse Shot, Outside Foot Shot, Technical Dribbler (AI)",85,78,74,79,41,72,72.8,74.6,79.6,77,64.83333333
387,Ronaldo Esler,Ronaldo Diego Esler Domingues,79,21,29-02-2000,168,65,LB,Defender,Fortaleza,Campeonato Brasileiro SÃ©rie A,Brazil,27,Left,3,4,"Long Throw-in, Early Crosser",89,58,70,77,74,59,62.8,62.4,87.2,66.6,68.33333333
388,M. Taremi,Mehdi Taremi,79,28,18-07-1992,187,83,RS,Forward,FC Porto,Portuguese Liga ZON SAGRES,Iran,9,Right,4,4,"Flair, Technical Dribbler (AI)",76,79,70,80,38,71,73.4,69,74.4,77,63.66666667
389,E. Bardhi,Enis Bardhi,79,25,02-07-1995,172,64,LM,Midfield,Levante UniÃ³n Deportiva,Spain Primera Division,North Macedonia,10,Right,4,4,"Long Shot Taker (AI), Outside Foot Shot",75,81,78,82,63,56,73,83.4,80.4,67.4,73.66666667
390,A. TchouamÃ©ni,AurÃ©lien TchouamÃ©ni,79,21,27-01-2000,187,81,LCM,Midfield,AS Monaco,French Ligue 1,France,8,Right,3,3,Long Passer (AI),72,69,75,77,77,82,67,71.2,73.2,77.8,74.33333333
391,Emerson,Emerson Aparecido Leite de Souza Junior,79,22,14-01-1999,181,79,RB,Defender,Tottenham Hotspur,English Premier League,Brazil,12,Right,3,3,"Solid Player, Long Shot Taker (AI), Speed Dribbler (AI)",84,62,71,74,74,77,65,67.2,76.6,74.8,67.16666667
392,Bruno GuimarÃ£es,Bruno GuimarÃ£es Rodriguez Moura,79,23,16-11-1997,182,78,RDM,Midfield,Olympique Lyonnais,French Ligue 1,Brazil,39,Right,3,3,"Long Passer (AI), Outside Foot Shot",68,63,78,78,73,75,67.2,75.4,71.2,69.6,73.66666667
393,S. Botman,Sven Botman,79,21,12-01-2000,193,81,LCB,Defender,LOSC Lille,French Ligue 1,Netherlands,4,Left,3,2,"Solid Player, Long Passer (AI)",60,36,59,61,80,84,49.4,53.6,59,70,60.33333333
394,J. Bellingham,Jude Victor William Bellingham,79,18,29-06-2003,186,75,RCM,Midfield,Borussia Dortmund,German 1. Bundesliga,England,22,Right,4,3,"Dives Into Tackles (AI), Technical Dribbler (AI)",75,69,73,80,75,77,66.2,68.2,78.2,75.2,73.5
